title,year,rating,genre,synopsis
Snatch - Porcos e Diamantes,2000,8.2,Comédia,"Um ladrão amante dos jogos reúne gângsteres desprezíveis, um grupo de nômades irlandeses e uma fazenda de porcos em meio a chantagens, fraudes, boxeadores, um cão faminto e um grande diamante."
Oppenheimer,2023,8.3,"Biografia, Drama, História",A história do cientista americano J. Robert Oppenheimer e seu papel no desenvolvimento da bomba atômica.
1917,2019,8.2,"Ação, Drama, Guerra","Na Primeira Guerra Mundial, dois soldados britânicos recebem ordens aparentemente impossíveis de cumprir. Em uma corrida contra o tempo, eles precisam atravessar o território inimigo e entregar uma mensagem que pode salvar 1.600 homens."
Los Angeles: Cidade Proibida,1997,8.2,"Drama, Mistério",A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.
A Queda! As Últimas Horas de Hitler,2004,8.2,"Biografia, Drama, Guerra, História",O último secretário de Hitler relata seus últimos dias em seu bunker de Berlim no final da Segunda Guerra Mundial.
Ladrões de Bicicletas,1948,8.2,Drama,Na Itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. Ele e o filho partiram para encontrá-la.
Dangal,2016,8.3,"Ação, Biografia, Drama",O lutador Mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do Commonwealth.
O Lobo de Wall Street,2013,8.2,"Biografia, Comédia, Drama","Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo."
Hababam Sinifi Sinifta Kaldi,1975,8.6,Comédia,A young and beautiful female teacher starts working in an all boys high school.
Green Book: O Guia,2018,8.2,"Biografia, Comédia, Drama",Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.
O Show de Truman: O Show da Vida,1998,8.2,"Comédia, Drama",Um vendedor de seguros descobre que sua vida é um programa de televisão.
Hamilton,2020,8.3,"Biografia, Drama, História, Musical","A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton."
Taxi Driver: Motorista de Táxi,1976,8.2,Drama,"Um veterano de guerra mentalmente instável trabalha à noite como taxista na cidade de Nova York, onde a decadência e o desprezo alimentam seu desejo de ação violenta."
Batman Begins,2005,8.2,"Ação, Drama, Suspense","Após testemunhar a morte dos pais, o bilionário Bruce Wayne aprende a arte de lutar para confrontar a injustiça. Quando ele retorna a Gotham como Batman, ele deve deter uma sociedade secreta que pretende destruir a cidade."
Por uns Dólares a Mais,1965,8.2,Drama,Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.
Julgamento em Nuremberg,1961,8.3,"Drama, Guerra, História","Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra."
Ilha do Medo,2010,8.2,"Drama, Mistério, Suspense","Em 1954, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico."
Quanto Mais Quente Melhor,1959,8.2,"Comédia, Romance","Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican."
Jurassic Park: O Parque dos Dinossauros,1993,8.2,"Ação, Aventura, Ficção científica, Suspense","Um milionário traz à vida dinossauros extintos há milhares de anos, criando um imenso parque. Mas os gigantes pré-históricos começam a ameaçar a vida dos visitantes."
O Garoto,1921,8.2,"Comédia, Drama, Família","Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento."
Meu Pai,2020,8.2,"Drama, Mistério","Um homem recusa toda a ajuda de sua filha à medida que envelhece. Enquanto ele tenta entender o que está acontecendo ao seu redor, ele começa a duvidar dos seus entes queridos, da sua mente e até mesmo da estrutura de sua realidade."
A Malvada,1950,8.2,Drama,"Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro."
Sangue Negro,2007,8.2,Drama,"Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio."
O Sexto Sentido,1999,8.2,"Drama, Mistério, Suspense",Um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.
Ran,1985,8.2,"Ação, Drama, Guerra","No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele."
Cassino,1995,8.2,Drama,"Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite."
Top Gun: Maverick,2022,8.2,"Ação, Drama","Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra."
Onde os Fracos Não Têm Vez,2007,8.2,"Drama, Suspense",Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.
O Enigma de Outro Mundo,1982,8.2,"Ficção científica, Mistério",Uma equipe de pesquisa na Antártica é caçada por um alienígena que muda de forma e assume a aparência de suas vítimas.
Os Imperdoáveis,1992,8.2,Drama,"O atirador do Velho Oeste, William Munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem."
O Labirinto do Fauno,2006,8.2,"Drama, Fantasia, Guerra","Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia."
Kill Bill: Volume 1,2003,8.2,"Ação, Suspense","Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu."
Uma Mente Brilhante,2001,8.2,"Biografia, Drama, Mistério",A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.
Os Suspeitos,2013,8.2,"Drama, Mistério, Suspense","Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta."
O Tesouro da Sierra Madre,1948,8.2,"Aventura, Drama",Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.
Procurando Nemo,2003,8.2,"Animação, Aventura, Comédia, Família","Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa."
"Yojimbo, o Guarda-Costas",1961,8.2,"Ação, Drama, Suspense",Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.
